
Linux  zoup.org  2.6.17.8  #1 SMP PREEMPT Thu Aug 17 15:08:28 IRST 2006  i686  08/29/2006

15:38:46  cpu  iq00 iq01 iq06 iq08 iq12 iq14 iq16 iq17 iq18 iq19 iq21 iq22 
15:38:47  all    94    0    0  966    0    0   71   20   18   16   84    0 
15:38:47    0     0    0    0  975    0    0    0    0    0   16    0    0 
15:38:47    1    95    0    0    0    0    0   73   20   18    0   84    0 
15:38:48  all   100    0    0 1021    0    0   77   22   13   12    6    0 
15:38:48    0     0    0    0 1017    0    0    0    0    0   12    0    0 
15:38:48    1   100    0    0    0    0    0   76   22   13    0    6    0 
15:38:49  all   101    0    0 1033    0    0   78   21   11    8    0    0 
15:38:49    0     0    0    0 1027    0    0    0    0    0    8    0    0 
15:38:49    1   100    0    0    0    0    0   77   21   11    0    0    0 
15:38:50  all    99    0    0 1016    0    0   74   22   14    5    2    0 
15:38:50    0     0    0    0 1016    0    0    0    0    0    5    0    0 
15:38:50    1    99    0    0    0    0    0   74   22   14    0    2    0 
15:38:51  all   103    9    0 1052    0    0   79   22    6   26    0    0 
15:38:51    0     0    0    0 1052    0    0    0    0    0   26    0    0 
15:38:51    1   103    9    0    0    0    0   79   22    6    0    0    0 
15:38:52  all    97    0    0  994    0    0   73   21   13   13   77    0 
15:38:52    0    95    0    0   16    0    0   71   20    0   13   76    0 
15:38:52    1     2    0    0  978    0    0    2    1   13    0    1    0 
15:38:53  all   100    0    0 1030    0    0   76   21   11   10    0    0 
15:38:53    0   101    0    0    0    0    0   78   22    0   10    0    0 
15:38:53    1     0    0    0 1037    0    0    0    0   11    0    0    0 
15:38:54  all   100    0    0 1020    0    0   77   22    4   20    2    0 
15:38:54    0   100    0    0    0    0    0   76   21    0   20    2    0 
15:38:54    1     0    0    0 1022    0    0    0    0    4    0    0    0 
15:38:55  all   101    0    0 1029    0    0   77   22    6   16    7    0 
15:38:55    0   100    0    0    0    0    0   77   22    0   16    7    0 
15:38:55    1     0    0    0 1028    0    0    0    0    6    0    0    0 
15:38:56  all    99    0    0 1021    0    0   75   21    4    2    0    0 
15:38:56    0    99    0    0    0    0    0   74   21    0    2    0    0 
15:38:56    1     0    0    0 1014    0    0    0    0    4    0    0    0 
